"STATISTIC","Statistic Label","TLIST(W1)","Week","C03935V04687","Mode of Transport","UNIT","VALUE"
"THA25C01","Passenger Journeys","2022W09","2022 Week 09","10","Dublin Metro Bus","Number","2393755"
"THA25C01","Passenger Journeys","2022W09","2022 Week 09","20","Bus, excluding Dublin Metro","Number","612819"
"THA25C01","Passenger Journeys","2022W09","2022 Week 09","30","Rail","Number","589825"
"THA25C01","Passenger Journeys","2022W09","2022 Week 09","40","All public transport, excluding LUAS","Number","3596399"
"THA25C01","Passenger Journeys","2022W10","2022 Week 10","10","Dublin Metro Bus","Number","2300757"
"THA25C01","Passenger Journeys","2022W10","2022 Week 10","20","Bus, excluding Dublin Metro","Number","572414"
"THA25C01","Passenger Journeys","2022W10","2022 Week 10","30","Rail","Number","507442"
"THA25C01","Passenger Journeys","2022W10","2022 Week 10","40","All public transport, excluding LUAS","Number","3380613"
"THA25C01","Passenger Journeys","2022W11","2022 Week 11","10","Dublin Metro Bus","Number","2121172"
"THA25C01","Passenger Journeys","2022W11","2022 Week 11","20","Bus, excluding Dublin Metro","Number","540807"
"THA25C01","Passenger Journeys","2022W11","2022 Week 11","30","Rail","Number","580364"
"THA25C01","Passenger Journeys","2022W11","2022 Week 11","40","All public transport, excluding LUAS","Number","3242343"
"THA25C01","Passenger Journeys","2022W12","2022 Week 12","10","Dublin Metro Bus","Number","2432024"
"THA25C01","Passenger Journeys","2022W12","2022 Week 12","20","Bus, excluding Dublin Metro","Number","608648"
"THA25C01","Passenger Journeys","2022W12","2022 Week 12","30","Rail","Number","598637"
"THA25C01","Passenger Journeys","2022W12","2022 Week 12","40","All public transport, excluding LUAS","Number","3639309"
"THA25C01","Passenger Journeys","2022W13","2022 Week 13","10","Dublin Metro Bus","Number","2371286"
"THA25C01","Passenger Journeys","2022W13","2022 Week 13","20","Bus, excluding Dublin Metro","Number","591604"
"THA25C01","Passenger Journeys","2022W13","2022 Week 13","30","Rail","Number","602411"
"THA25C01","Passenger Journeys","2022W13","2022 Week 13","40","All public transport, excluding LUAS","Number","3565301"
"THA25C01","Passenger Journeys","2022W14","2022 Week 14","10","Dublin Metro Bus","Number","2450481"
"THA25C01","Passenger Journeys","2022W14","2022 Week 14","20","Bus, excluding Dublin Metro","Number","616574"
"THA25C01","Passenger Journeys","2022W14","2022 Week 14","30","Rail","Number","581420"
"THA25C01","Passenger Journeys","2022W14","2022 Week 14","40","All public transport, excluding LUAS","Number","3648475"
"THA25C01","Passenger Journeys","2022W15","2022 Week 15","10","Dublin Metro Bus","Number","2266854"
"THA25C01","Passenger Journeys","2022W15","2022 Week 15","20","Bus, excluding Dublin Metro","Number","556672"
"THA25C01","Passenger Journeys","2022W15","2022 Week 15","30","Rail","Number","557169"
"THA25C01","Passenger Journeys","2022W15","2022 Week 15","40","All public transport, excluding LUAS","Number","3380695"
"THA25C01","Passenger Journeys","2022W16","2022 Week 16","10","Dublin Metro Bus","Number","2229079"
"THA25C01","Passenger Journeys","2022W16","2022 Week 16","20","Bus, excluding Dublin Metro","Number","570284"
"THA25C01","Passenger Journeys","2022W16","2022 Week 16","30","Rail","Number","590864"
"THA25C01","Passenger Journeys","2022W16","2022 Week 16","40","All public transport, excluding LUAS","Number","3390227"
"THA25C01","Passenger Journeys","2022W17","2022 Week 17","10","Dublin Metro Bus","Number","2471590"
"THA25C01","Passenger Journeys","2022W17","2022 Week 17","20","Bus, excluding Dublin Metro","Number","666915"
"THA25C01","Passenger Journeys","2022W17","2022 Week 17","30","Rail","Number","599078"
"THA25C01","Passenger Journeys","2022W17","2022 Week 17","40","All public transport, excluding LUAS","Number","3737583"
"THA25C01","Passenger Journeys","2022W18","2022 Week 18","10","Dublin Metro Bus","Number","2335362"
"THA25C01","Passenger Journeys","2022W18","2022 Week 18","20","Bus, excluding Dublin Metro","Number","645649"
"THA25C01","Passenger Journeys","2022W18","2022 Week 18","30","Rail","Number","633863"
"THA25C01","Passenger Journeys","2022W18","2022 Week 18","40","All public transport, excluding LUAS","Number","3614874"
"THA25C01","Passenger Journeys","2022W19","2022 Week 19","10","Dublin Metro Bus","Number","2267822"
"THA25C01","Passenger Journeys","2022W19","2022 Week 19","20","Bus, excluding Dublin Metro","Number","681036"
"THA25C01","Passenger Journeys","2022W19","2022 Week 19","30","Rail","Number","672546"
"THA25C01","Passenger Journeys","2022W19","2022 Week 19","40","All public transport, excluding LUAS","Number","3621404"
"THA25C01","Passenger Journeys","2022W20","2022 Week 20","10","Dublin Metro Bus","Number","2454491"
"THA25C01","Passenger Journeys","2022W20","2022 Week 20","20","Bus, excluding Dublin Metro","Number","668361"
"THA25C01","Passenger Journeys","2022W20","2022 Week 20","30","Rail","Number","650548"
"THA25C01","Passenger Journeys","2022W20","2022 Week 20","40","All public transport, excluding LUAS","Number","3773400"
"THA25C01","Passenger Journeys","2022W21","2022 Week 21","10","Dublin Metro Bus","Number","2449292"
"THA25C01","Passenger Journeys","2022W21","2022 Week 21","20","Bus, excluding Dublin Metro","Number","671051"
"THA25C01","Passenger Journeys","2022W21","2022 Week 21","30","Rail","Number","663418"
"THA25C01","Passenger Journeys","2022W21","2022 Week 21","40","All public transport, excluding LUAS","Number","3783761"
"THA25C01","Passenger Journeys","2022W22","2022 Week 22","10","Dublin Metro Bus","Number","2461534"
"THA25C01","Passenger Journeys","2022W22","2022 Week 22","20","Bus, excluding Dublin Metro","Number","675775"
"THA25C01","Passenger Journeys","2022W22","2022 Week 22","30","Rail","Number","700921"
"THA25C01","Passenger Journeys","2022W22","2022 Week 22","40","All public transport, excluding LUAS","Number","3838230"
"THA25C01","Passenger Journeys","2022W23","2022 Week 23","10","Dublin Metro Bus","Number","2417295"
"THA25C01","Passenger Journeys","2022W23","2022 Week 23","20","Bus, excluding Dublin Metro","Number","628508"
"THA25C01","Passenger Journeys","2022W23","2022 Week 23","30","Rail","Number","646250"
"THA25C01","Passenger Journeys","2022W23","2022 Week 23","40","All public transport, excluding LUAS","Number","3692053"
