"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02639V03196","Day of Week","C03839V04589","Bus City Services","UNIT","VALUE"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","2","Monday","50","Dublin Bus","Number","452137"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","3","Tuesday","10","Cork city","Number","52411"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","3","Tuesday","20","Galway city","Number","22554"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","3","Tuesday","30","Limerick city","Number","18882"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","3","Tuesday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","3","Tuesday","50","Dublin Bus","Number","445061"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","4","Wednesday","10","Cork city","Number","53970"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","4","Wednesday","20","Galway city","Number","22942"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","4","Wednesday","30","Limerick city","Number","19527"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","4","Wednesday","40","Waterford city","Number",""
